industry,theme,isin_code,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
health,cardiovascular_disease,IE00BTN1Y115,MEDTRONIC PLC,1,"Proporciona una cartera integral de tecnologías y terapias médicas esenciales para el diagnóstico, tratamiento y manejo de diversas enfermedades cardiovasculares.","Medtronic tiene un enfoque significativo en las enfermedades cardiovasculares, como lo demuestra su amplia cartera de productos y terapias relacionadas, que incluyen marcapasos, monitores cardíacos, desfibriladores, cables, stents y tecnologías de reemplazo de válvulas cardíacas. Los productos cardiovasculares de la empresa, que también incluyen tratamientos para trastornos del ritmo cardíaco, se consideran productos principales. El crecimiento cardiovascular de Medtronic se aceleró en un 8%, impulsado por Cardiac Ablation Solutions, Structural Heart y Cardiac Surgery, y la empresa está preparada para cambiar el estándar de atención para la presión arterial alta no controlada con su procedimiento Symplicity para la presión arterial.","[{'name': 'mdt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mdt-Q225-10-Q.html'}, {'name': 'mdt-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mdt-Q125-10-Q.html'}, {'name': 'mdt-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mdt-Q325-10-Q.html'}, {'name': 'mdt-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mdt-FY25-10-K.html'}]",181387075,USD,MDT,SMART,STK,True,CAR
health,cardiovascular_disease,US0028241000,ABBOTT LABORATORIES .,2,"Impulsa la innovación y proporciona una amplia gama de tecnologías y soluciones médicas para el diagnóstico, tratamiento y manejo de enfermedades cardiovasculares.","La participación de Abbott en el tema de Enfermedades Cardiovasculares es evidente a través de su sólido segmento de Dispositivos Médicos, que incluye dispositivos para el corazón estructural, intervenciones vasculares y dispositivos de manejo del ritmo. El enfoque de la empresa se ve subrayado por el crecimiento en insuficiencia cardíaca, corazón estructural, electrofisiología y manejo del ritmo cardíaco, con productos específicos como Navitor®, MitraClip®, TriClip® y Amplatzer® Amulet® impulsando las ventas. Demostrando aún más su compromiso, Abbott adquirió Cardiovascular Systems, Inc. (CSI) para mejorar su oferta de dispositivos vasculares y continúa innovando con productos como el sistema de marcapasos sin cables de doble cámara Aveir® y el sistema de Ablación por Campo Pulsado (PFA) Volt™.","[{'name': 'abt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/abt-Q324-10-Q.html'}, {'name': 'abt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/abt-FY24-10-K.html'}, {'name': 'abt-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/abt-Q125-10-Q.html'}, {'name': 'abt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/abt-Q225-10-Q.html'}]",4065,USD,ABT,SMART,STK,True,CAR
health,cardiovascular_disease,US4781601046,JOHNSON & JOHNSON,3,Ayuda en el desarrollo y la entrega de intervenciones para Enfermedades Cardiovasculares.,"Johnson & Johnson demuestra una presencia significativa en el espacio de Enfermedades Cardiovasculares, respaldada por su liderazgo en recuperación cardíaca, restauración circulatoria y electrofisiología. Esto es evidente en el segmento MedTech de la empresa, que incluye una amplia cartera de productos cardiovasculares, y en el segmento Innovative Medicine, que se centra en cardiovascular y metabolismo como áreas terapéuticas clave. La franquicia cardiovascular de la empresa ha mostrado un crecimiento sustancial, impulsado por productos como Impella de Abiomed y la adquisición de Shockwave Medical, y la franquicia ha logrado un notable crecimiento de las ventas operativas. Además, Johnson & Johnson está avanzando activamente en soluciones cardiovasculares, incluido el Catéter Dual Energy THERMOCOOL SMARTTOUCH SF, y está buscando aprobaciones regulatorias para tecnologías innovadoras.","[{'name': 'jnj-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jnj-Q225-10-Q.html'}, {'name': 'jnj-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jnj-Q324-10-Q.html'}, {'name': 'jnj-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jnj-Q125-10-Q.html'}, {'name': 'jnj-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/jnj-FY24-10-K.html'}]",8719,USD,JNJ,SMART,STK,True,CAR
health,cardiovascular_disease,US28176E1082,EDWARDS LIFESCIENCES CORP,4,"Desarrolla y fabrica tecnologías médicas innovadoras, particularmente en válvulas cardíacas y monitorización de cuidados críticos, para tratar enfermedades cardiovasculares avanzadas.","La empresa demuestra un fuerte enfoque en las enfermedades cardiovasculares, particularmente en las enfermedades cardíacas estructurales, ya que se identifica como el principal innovador mundial en este ámbito. Esto es evidente a través de su dedicación a mejorar la vida de los pacientes a través de tecnologías innovadoras, su categorización de productos en Reemplazo de Válvula Aórtica Transcatéter (TAVR), Terapias Transcatéter de Válvula Mitral y Tricúspide (TMTT) y Corazón Estructural Quirúrgico, y su visión de tratar a pacientes con enfermedades cardíacas estructurales valvulares y no valvulares como la insuficiencia cardíaca. La empresa se asocia con médicos e investigadores líderes, invierte en investigación y desarrollo, y se dedica a generar evidencia clínica sólida para fomentar la adopción de terapias médicas innovadoras.","[{'name': 'ew-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ew-Q125-10-Q.html'}, {'name': 'ew-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ew-Q324-10-Q.html'}, {'name': 'ew-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ew-FY24-10-K.html'}, {'name': 'ew-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ew-Q225-10-Q.html'}]",8101142,USD,EW,SMART,STK,True,CAR
health,cardiovascular_disease,US1011371077,BOSTON SCIENTIFIC CORP,5,Proporciona una cartera integral de dispositivos médicos e intervenciones cruciales para el diagnóstico y tratamiento de diversas enfermedades cardiovasculares.,"El compromiso de Boston Scientific con el tema de Enfermedades Cardiovasculares es significativo, impulsado por su negocio dedicado de Cardiología, que desarrolla y fabrica tecnologías médicas para diagnosticar y tratar enfermedades cardíacas. Los productos de Cardiología contribuyen consistentemente con una parte sustancial de los ingresos de la empresa, representando aproximadamente el 50-52% de las ventas netas consolidadas en varios períodos de informes. Este compromiso se demuestra aún más por el fuerte crecimiento dentro del segmento cardiovascular, particularmente en áreas como WATCHMAN, Cardiología Intervencionista y Electrofisiología, así como adquisiciones estratégicas como SoniVie, destinadas a expandir su cartera de soluciones cardiovasculares.","[{'name': 'bsx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bsx-Q225-10-Q.html'}, {'name': 'bsx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bsx-Q125-10-Q.html'}, {'name': 'bsx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bsx-FY24-10-K.html'}, {'name': 'bsx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bsx-Q324-10-Q.html'}]",5270,USD,BSX,SMART,STK,True,CAR
health,cardiovascular_disease,US1101221083,BRISTOL-MYERS SQUIBB CO,6,Se enfoca en el desarrollo y comercialización de soluciones terapéuticas para enfermedades cardiovasculares.,"La participación de Bristol Myers Squibb en Enfermedades Cardiovasculares es evidente a través de su enfoque estratégico y su diversa cartera. La compañía identifica explícitamente las enfermedades cardiovasculares como un área terapéutica central, enfatizando su compromiso de descubrir y ofrecer medicamentos transformadores. Este compromiso está respaldado por productos clave como Camzyos, que ha experimentado un crecimiento sustancial en ventas globales y ha recibido aprobaciones regulatorias en Japón y actualizaciones de etiqueta en los EE. UU. Además, Eliquis contribuye significativamente a los ingresos, y el programa clínico LIBREXIA en curso, que presenta milvexian, subraya la inversión continua de la compañía en el desarrollo de tratamientos para la fibrilación auricular, la prevención del accidente cerebrovascular y el síndrome coronario agudo.","[{'name': 'bmy-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bmy-Q125-10-Q.html'}, {'name': 'bmy-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bmy-Q324-10-Q.html'}, {'name': 'bmy-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bmy-FY24-10-K.html'}, {'name': 'bmy-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bmy-Q225-10-Q.html'}]",5111,USD,BMY,SMART,STK,True,CAR
health,cardiovascular_disease,US58933Y1055,MERCK & CO INC,7,Centra sus esfuerzos en el tema de las enfermedades cardiovasculares.,"El compromiso de Merck con el tema de Enfermedades Cardiovasculares es evidente a través de varios desarrollos clave. El crecimiento de la franquicia cardiovascular está impulsado en gran medida por Winrevair, indicado por su creciente volumen de ventas y la aprobación de la FDA para el tratamiento de la hipertensión arterial pulmonar. Subrayando aún más este enfoque, Merck está desarrollando activamente MK-0616, un inhibidor oral de PCSK9, y ha adquirido Verona Pharma para complementar su programa cardiopulmonar. Además, Merck tiene un acuerdo de licencia exclusiva con Hengrui Pharma para HRS-5346, un tratamiento experimental dirigido a la enfermedad cardiovascular aterosclerótica.","[{'name': 'mrk-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mrk-Q225-10-Q.html'}, {'name': 'mrk-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mrk-FY24-10-K.html'}, {'name': 'mrk-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mrk-Q324-10-Q.html'}, {'name': 'mrk-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mrk-Q125-10-Q.html'}]",70101545,USD,MRK,SMART,STK,True,CAR
health,cardiovascular_disease,DK0062498333,NOVO NORDISK A/S-B,8,"Se enfoca en el desarrollo de tratamientos que abordan la comorbilidad significativa de las enfermedades cardiovasculares, particularmente en afecciones como la obesidad y la diabetes, para mejorar los resultados de los pacientes.",,,652806383,DKK,NOVO.B,SMART,STK,False,CAR
health,cardiovascular_disease,US7170811035,PFIZER INC,9,"Participa en la investigación, desarrollo y comercialización de productos farmacéuticos para el tratamiento y manejo de diversas enfermedades cardiovasculares.","La participación de Pfizer en la Enfermedad Cardiovascular es evidente a través de varios productos clave e iniciativas estratégicas. El crecimiento de la compañía se atribuye en parte a la continua adopción de anticoagulantes orales como Eliquis, particularmente para la fibrilación auricular no valvular. Además, la familia Vyndaqel se destaca como un tratamiento fundamental para pacientes con miocardiopatía ATTR, una afección cardíaca grave. Si bien Pfizer está comprometida a construir su cartera cardiometabólica, incluida la obesidad, y considera que la cardiometabólica es una estrategia central dentro de Medicina Interna, no hay detalles explícitos sobre equipos o recursos dedicados a la Enfermedad Cardiovascular.","[{'name': 'pfe-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pfe-Q324-10-Q.html'}]",11031,USD,PFE,SMART,STK,True,CAR
health,cardiovascular_disease,GB0009895292,ASTRAZENECA PLC,10,"Se centra en la investigación, el desarrollo y la comercialización de terapias para tratar y controlar enfermedades cardiovasculares.",,,909330,GBP,AZN,SMART,STK,False,CAR
health,cardiovascular_disease,US40412C1018,HCA HEALTHCARE INC,11,"Proporciona servicios integrales de atención cardiovascular, que incluyen diagnóstico, tratamiento e intervenciones quirúrgicas para pacientes con afecciones cardíacas y vasculares.","La participación de HCA en el tema de Enfermedades Cardiovasculares es evidente a través de su desarrollo estratégico de líneas de servicio integrales, incluida la cardiología. La compañía destaca consistentemente el crecimiento en procedimientos cardíacos, tanto ambulatorios como hospitalizados, así como los ingresos a rehabilitación cardíaca. Además, HCA planea continuar reclutando y colaborando con médicos para mejorar sus servicios de cardiología, lo que indica un compromiso continuo con esta área.","[{'name': 'hca-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/hca-FY24-10-K.html'}]",85076790,USD,HCA,SMART,STK,True,CAR
health,cardiovascular_disease,US8835561023,THERMO FISHER SCIENTIFIC INC,12,"Proporciona instrumentación científica esencial, reactivos y servicios que apoyan la investigación, el diagnóstico y el desarrollo de terapias para enfermedades cardiovasculares.",,,12869,USD,TMO,SMART,STK,True,CAR
health,cardiovascular_disease,US0758871091,BECTON DICKINSON AND CO,13,"Proporciona dispositivos y tecnologías médicas cruciales para el diagnóstico, tratamiento y manejo de enfermedades cardiovasculares.","Becton, Dickinson and Company demuestra su enfoque en la enfermedad cardiovascular a través de su unidad de Intervención Periférica, que ha experimentado un fuerte crecimiento en su cartera de enfermedades vasculares periféricas, impulsado particularmente por las ventas del Sistema de Aterectomía RotarexTM. Sin embargo, este crecimiento en las ventas de plataformas de enfermedades vasculares periféricas se ve parcialmente compensado por una disminución en las ventas de productos oncológicos. La unidad de Intervención Periférica participa tanto en plataformas de enfermedades vasculares periféricas como de enfermedad renal terminal.","[{'name': 'bdx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bdx-Q125-10-Q.html'}, {'name': 'bdx-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bdx-Q325-10-Q.html'}]",4886,USD,BDX,SMART,STK,True,CAR
health,cardiovascular_disease,DE000BAY0017,BAYER AG-REG,14,Desarrolla y comercializa una cartera de productos farmacéuticos destinados a tratar y prevenir diversas afecciones cardiovasculares.,,,68598660,EUR,BAYN,SMART,STK,False,CAR
health,cardiovascular_disease,US0311621009,AMGEN INC,15,Desarrolla y comercializa terapias innovadoras dirigidas a abordar necesidades significativas no satisfechas en el manejo de enfermedades cardiovasculares.,"La participación de Amgen en la industria de las enfermedades cardiovasculares es evidente a través de su producto Repatha, un importante motor de crecimiento con ventas que superan los 2.200 millones de dólares, y sus continuos esfuerzos para mejorar el acceso de los pacientes. La compañía también está avanzando en el programa clínico de olpasiran, que aborda un factor de riesgo significativo en las enfermedades cardíacas y se encuentra actualmente en ensayos de resultados cardiovasculares de Fase III. Además, Amgen está llevando a cabo el estudio de prevención primaria de Fase III Repatha VESALIUS y explorando el potencial de MariTide, que ha mostrado mejoras en los parámetros cardiometabólicos.","[{'name': 'amgn-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amgn-Q324-10-Q.html'}, {'name': 'amgn-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amgn-Q225-10-Q.html'}]",266145,USD,AMGN,SMART,STK,True,CAR
health,cardiovascular_disease,US8793691069,TELEFLEX INC,16,"Ofrece una cartera de dispositivos y soluciones médicas esenciales para el diagnóstico, tratamiento y manejo de enfermedades cardiovasculares.",,,12750,USD,TFX,SMART,STK,True,CAR
health,cardiovascular_disease,US88033G4073,TENET HEALTHCARE CORP,17,"Ofrece amplias soluciones de atención médica que abarcan el diagnóstico, tratamiento y manejo de enfermedades cardiovasculares en sus instalaciones.","El enfoque de la compañía en procedimientos cardiovasculares es evidente en su estrategia de alta agudeza, donde los servicios cardiovasculares se identifican como un área de fortaleza. Esta fortaleza en procedimientos cardiovasculares contribuye a los resultados generales de la estrategia de alta agudeza, lo que indica que los servicios cardiovasculares son un aspecto notable de las operaciones del hospital. La compañía destaca su enfoque en cardiovascular, ortopedia, columna vertebral, neurocirugía, cirugía general de amplio espectro y robótica.",,114929760,USD,THC,SMART,STK,True,CAR
health,cardiovascular_disease,US70975L1070,PENUMBRA INC,18,"Desarrolla y comercializa dispositivos médicos intervencionistas diseñados para tratar una variedad de enfermedades cardiovasculares, mejorando las opciones terapéuticas para los pacientes.","El enfoque de Penumbra en el tema de las enfermedades cardiovasculares es evidente a través de su desarrollo de tecnologías para afecciones médicas como el accidente cerebrovascular isquémico, el tromboembolismo venoso, la embolia pulmonar y la isquemia aguda de las extremidades. La empresa se identifica como la empresa líder mundial en trombectomía, con productos de trombectomía diseñados para eliminar coágulos sanguíneos, lo que contribuye significativamente a sus ingresos. El compromiso de Penumbra se demuestra además a través de ensayos clínicos como STORM-PE y STRIDE II, que evalúan su sistema de trombectomía asistida por computadora (CAVT). El negocio de trombectomía de la empresa en EE. UU., en particular la franquicia VTE, está experimentando un crecimiento, respaldado por productos como Flash 2.0 y Bolt 12, así como por el catéter RED 72 y Thunderbolt.","[{'name': 'pen-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pen-Q225-10-Q.html'}, {'name': 'pen-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pen-Q125-10-Q.html'}, {'name': 'pen-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pen-Q324-10-Q.html'}, {'name': 'pen-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/pen-FY24-10-K.html'}]",206663857,USD,PEN,SMART,STK,True,CAR
health,cardiovascular_disease,US9139031002,UNIVERSAL HEALTH SERVICES-B,19,"Proporciona servicios de atención médica que abarcan el diagnóstico, tratamiento y manejo de enfermedades cardiovasculares.","La participación de UHS en el tema de Enfermedades Cardiovasculares se refleja en la prestación de servicios de atención coronaria dentro de sus hospitales. Este servicio se enumera junto con otros servicios médicos generales y especializados, que incluyen cirugía, medicina interna y atención de emergencia. Si bien la atención coronaria se menciona como parte de los servicios ofrecidos, no se enfatiza como una prioridad estratégica importante, lo que sugiere una participación general en el tratamiento de enfermedades cardiovasculares.","[{'name': 'uhs-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/uhs-Q324-10-Q.html'}, {'name': 'uhs-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/uhs-Q125-10-Q.html'}]",13206,USD,UHS,SMART,STK,True,CAR
