symbol,industry_id,theme_id,industry,theme,isin_code,name,rank,description,evidence,ib_conid,currency,exchange,assetType,evidenceSources
AMZN,CR,RE1,consumer and retail,retail_giant,US0231351067,AMAZON.COM INC,1,"Opera como líder mundial en comercio minorista, dominando tanto el comercio electrónico como, cada vez más, los sectores minoristas físicos tradicionales, estableciendo así estándares en la industria e influyendo en el comportamiento del consumidor a nivel mundial.","La posición de Amazon como gigante minorista está respaldada por sus sustanciales ingresos, su enfoque en la experiencia del cliente y su amplia selección de productos. La empresa informó un crecimiento significativo de los ingresos y enfatiza la provisión de valor, precios bajos y entrega rápida. La capacidad de Amazon para navegar por condiciones desafiantes se deriva de su extensa selección, sus asociaciones con numerosos vendedores independientes y la confianza que ha cultivado con los clientes, lo que le permite emerger de períodos inciertos con una mayor cuota de mercado. Además, la resiliencia de Amazon a los aranceles, debido a su diversa fuente de suministro y su modelo de mercado, refuerza su posición prominente en el panorama minorista.",3691937,USD,SMART,STK,
WMT,CR,RE1,consumer and retail,retail_giant,US9311421039,WALMART INC,2,"Opera como una de las corporaciones minoristas más grandes del mundo, influyendo en los mercados de consumo globales a través de su extensa red de tiendas y plataformas de comercio electrónico.","La posición de Walmart como actor importante en la industria minorista es evidente a través de su escala, diversos formatos minoristas y competencia dentro del mercado omnicanal. El desempeño financiero de la empresa en segmentos como Walmart U.S., Walmart International y Sam's Club, junto con sus extensas operaciones e iniciativas estratégicas, solidifica su posición como minorista líder. Esto se ve reforzado aún más por el enfoque del documento en los resultados de Walmart y el reconocimiento implícito de su amplia influencia.",13824,USD,SMART,STK,"[{'name': 'wmt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wmt-Q225-10-Q.html'}]"
MC,CR,RE1,consumer and retail,retail_giant,FR0000121014,LVMH MOET HENNESSY LOUIS VUI,3,"Funciona como un conglomerado dominante de venta minorista de lujo a nivel mundial, gestionando una extensa cartera de marcas prestigiosas en múltiples sectores con una presencia mundial significativa.",,29612150,EUR,SMART,STK,
HD,CR,RE1,consumer and retail,retail_giant,US4370761029,HOME DEPOT INC,4,"Opera como un minorista líder en mejoras para el hogar con una vasta huella de tiendas y una influencia significativa en el mercado, dando forma a las tendencias y experiencias del consumidor dentro del panorama minorista global.","La posición de la empresa como un gigante minorista está respaldada por su extensa red de tiendas, que incluye 2,347 tiendas, y cifras de ventas sustanciales, con $40.2 mil millones en ventas netas reportadas en el tercer trimestre del año fiscal 2024 y $159.5 mil millones en el año fiscal 2024. Estas cifras, junto con ganancias de $3.6 mil millones, o $3.67 por acción diluida, para el tercer trimestre del año fiscal 2024, resaltan la presencia e influencia significativas de la empresa en la industria minorista. La empresa continúa expandiendo su huella, abriendo nuevas tiendas en EE. UU. y México, solidificando aún más su estatus como un actor importante en el sector minorista.",7930,USD,SMART,STK,"[{'name': 'hd-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hd-Q224-10-Q.html'}, {'name': 'hd-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hd-Q324-10-Q.html'}, {'name': 'hd-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/hd-FY24-10-K.html'}]"
9988,CR,RE1,consumer and retail,retail_giant,KYG017191142,ALIBABA GROUP HOLDING LTD,5,"Opera como una fuerza dominante en el sector minorista global, impulsando la innovación en el comercio electrónico y expandiendo su presencia minorista física en varios mercados.",,391638829,HKD,SEHK,STK,
TGT,CR,RE1,consumer and retail,retail_giant,US87612E1064,TARGET CORP,6,"Mantiene una presencia significativa en el sector minorista, caracterizada por una amplia huella de tiendas y una oferta de productos diversa que contribuye a la escala y competitividad de la industria.","La posición de Target como gigante minorista es evidente a través de sus extensas operaciones, estrategias y desempeño financiero detallados en los documentos proporcionados. Con casi 2.000 tiendas en los 50 estados y una cartera de marcas propias de 31.000 millones de dólares, Target es un líder principal en el comercio minorista. Los ingresos sustanciales de la empresa, como los 25.700 millones de dólares reportados, y sus asociaciones estratégicas con marcas importantes como Apple, Starbucks y Levi's, solidifican aún más su significativa presencia e influencia en la industria minorista. Las discusiones sobre el negocio multicanal de Target, su abastecimiento global y su equipo de diseño también refuerzan su estatus como minorista líder.",6437,USD,SMART,STK,"[{'name': 'tgt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tgt-Q324-10-Q.html'}, {'name': 'tgt-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tgt-Q224-10-Q.html'}]"
COST,CR,RE1,consumer and retail,retail_giant,US22160K1051,COSTCO WHOLESALE CORP,7,"Opera como un club de almacén líder basado en membresía, contribuyendo significativamente al panorama minorista global a través de su extensa red y modelo de ventas de alto volumen.","La posición de la empresa como un gigante minorista se ve respaldada por sus importantes ventas netas, que alcanzaron los $249,625, y la expansión de su infraestructura con la apertura de 30 nuevos almacenes. Este crecimiento se refleja además en un aumento del 5% en las ventas comparables, impulsado por el rendimiento de los almacenes nuevos y existentes. La escala de la empresa, sus operaciones globales y su énfasis en aumentar las ventas y adaptarse a la competencia solidifican su posición como un actor importante en el panorama minorista.",272997,USD,SMART,STK,"[{'name': 'cost-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cost-FY24-10-K.html'}]"
ITX,CR,RE1,consumer and retail,retail_giant,ES0148396007,INDUSTRIA DE DISENO TEXTIL,8,"Opera como un minorista de moda global dominante con una extensa red de marcas y tiendas, influyendo significativamente en el panorama minorista mundial.",,162084958,EUR,SMART,STK,
LOW,CR,RE1,consumer and retail,retail_giant,US5486611073,LOWE'S COS INC,9,"Mantiene una vasta red de tiendas y una amplia oferta de productos en el sector de la mejora del hogar, consolidando su posición como un importante gigante minorista.",,9199,USD,SMART,STK,
9618,CR,RE1,consumer and retail,retail_giant,KYG8208B1014,JD.COM INC-CLASS A,10,"Opera como un importante minorista en línea, ofreciendo una gran variedad de productos y servicios en diversas categorías, consolidando su posición como una fuerza dominante en los sectores de comercio electrónico y minorista.",,426228059,HKD,SEHK,STK,
JD,CR,RE1,consumer and retail,retail_giant,US47215P1066,JD.COM INC-ADR,11,"Funciona como una vasta plataforma de comercio electrónico y cadena de suministro minorista integrada, impulsando la distribución de bienes de consumo a gran escala y servicios minoristas.",,152486141,USD,SMART,STK,
SPG,CR,RE1,consumer and retail,retail_giant,US8288061091,SIMON PROPERTY GROUP INC,12,"Posee y gestiona una amplia cartera de propiedades minoristas, incluidos centros comerciales y centros outlet, sirviendo como propietario principal para numerosas empresas minoristas a gran escala.",,2009113,USD,SMART,STK,
TJX,CR,RE1,consumer and retail,retail_giant,US8725401090,TJX COMPANIES INC,13,"Opera como un destacado minorista de ropa y moda para el hogar a precios reducidos, manteniendo una presencia sustancial en el mercado y una extensa red de tiendas en numerosos países.","La destacada posición de TJX en la industria minorista es evidente a través de su autoidentificación como minorista líder de ropa y moda para el hogar a precios reducidos en EE. UU. y en todo el mundo, operando más de 5.000 tiendas en cuatro segmentos principales. El liderazgo de la empresa expresa una gran confianza en su visión estratégica para el crecimiento futuro, destacando su largo historial de navegación en mercados minoristas desafiantes y emergiendo más fuerte con mayores oportunidades de cuota de mercado. TJX también enfatiza su capacidad para atraer nuevos compradores con su propuesta de valor, combinando marca, moda, calidad y precio, lo que solidifica aún más su posición como un actor importante en el sector minorista, respaldado por un gran equipo de más de 1.300 compradores que obtienen productos a nivel mundial.",12814,USD,SMART,STK,"[{'name': 'tjx-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tjx-Q325-10-Q.html'}]"
SBUX,CR,RE1,consumer and retail,retail_giant,US8552441094,STARBUCKS CORP,14,"Opera como una destacada cadena minorista global, demostrando una presencia e influencia significativas en el mercado dentro de la industria minorista en general.","La posición de Starbucks como un gigante minorista está respaldada por su extensa presencia global, con más de 40,500 tiendas operadas por la compañía y con licencia en 88 mercados, que crecieron un 5% en el último año. Las operaciones de la compañía se dividen en tres segmentos: América del Norte, Internacional y Desarrollo de Canales, con el desempeño financiero impulsado por la apertura de nuevas tiendas y las ventas comparables de tiendas. Como el principal tostador, comercializador y minorista de café especial a nivel mundial, la considerable red de tiendas y el reconocimiento de marca de Starbucks solidifican su estatus como minorista líder, contribuyendo significativamente a sus $36.2 mil millones en ingresos netos totales para el año fiscal 2024.",274105,USD,SMART,STK,"[{'name': 'sbux-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sbux-Q125-10-Q.html'}, {'name': 'sbux-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/sbux-FY24-10-K.html'}]"
KR,CR,RE1,consumer and retail,retail_giant,US5010441013,KROGER CO,15,"Mantiene una presencia significativa como uno de los mayores minoristas de alimentos en los Estados Unidos, operando numerosos supermercados y tiendas multidepartamentales en diversas regiones.","La importancia de Kroger como Gigante Minorista se ve subrayada por sus extensas redes de tiendas, su amplia oferta de productos y su fuerte presencia de marca entre los consumidores. El modelo de creación de valor probado de la empresa y sus pilares estratégicos, que incluyen Frescura, Nuestras Marcas, Personalización y Sin Interrupciones, solidifican aún más su posición como entidad minorista líder. Como importante operador de supermercados con un modelo de negocio diverso que genera crecimiento de las ganancias netas, el desempeño financiero y las iniciativas estratégicas de Kroger reflejan su estatus como actor clave en la industria minorista.",8908,USD,SMART,STK,"[{'name': 'kr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kr-Q324-10-Q.html'}, {'name': 'kr-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kr-Q224-10-Q.html'}]"
AD,CR,RE1,consumer and retail,retail_giant,NL0011794037,KONINKLIJKE AHOLD DELHAIZE N,16,"Opera una vasta red internacional de supermercados y plataformas de comercio electrónico, ofreciendo una amplia selección de productos alimenticios y no alimenticios a una gran base de clientes.",,240486295,EUR,SMART,STK,
CPNG,CR,RE1,consumer and retail,retail_giant,US22266T1097,COUPANG INC,17,"Opera una plataforma integral de comercio electrónico que ofrece una amplia selección de productos y servicios, estableciéndose como una fuerza dominante en la industria minorista.","La conexión de Coupang con el tema del Gigante Minorista es evidente por su posición como empresa Fortune 200 que ofrece servicios minoristas a nivel mundial. El crecimiento sostenido de la empresa en el mercado minorista coreano, impulsado por un enfoque en la expansión de la selección, la reducción de precios y la mejora de la entrega, destaca su influencia. Coupang también está expandiendo sus operaciones en Taiwán, forjando relaciones con marcas globales y lanzando su programa de membresía WOW, solidificando aún más su posición en el sector minorista.",475686899,USD,SMART,STK,"[{'name': 'cpng-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cpng-FY24-10-K.html'}]"
ULTA,CR,RE1,consumer and retail,retail_giant,US90384S3031,ULTA BEAUTY INC,18,"Opera como un minorista prominente, ofreciendo una amplia gama de productos y servicios de belleza en una extensa red de tiendas y plataformas en línea, estableciendo una presencia significativa en el mercado minorista.",,46970422,USD,SMART,STK,
DG,CR,RE1,consumer and retail,retail_giant,US2566771059,DOLLAR GENERAL CORP,19,"Opera como una cadena minorista importante con una amplia presencia, lo que contribuye a la escala y el alcance general de la industria minorista.","La posición de la empresa como el minorista de descuento más grande de los Estados Unidos, basada en su extensa red de más de 20,000 tiendas en 48 estados de EE. UU. y México, la establece firmemente como un gigante minorista. Esto se ve reforzado aún más por las inversiones continuas de la empresa, incluidos los planes de abrir aproximadamente 575 nuevas tiendas y remodelar aproximadamente 4,250 ubicaciones existentes. La concentración de tiendas de la empresa en los estados del sur, suroeste, medio oeste y este de los Estados Unidos destaca su amplio alcance e influencia en el mercado minorista.",70212228,USD,SMART,STK,"[{'name': 'dg-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dg-Q324-10-Q.html'}, {'name': 'dg-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dg-Q224-10-Q.html'}, {'name': 'dg-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dg-FY24-10-K.html'}]"
BBY,CR,RE1,consumer and retail,retail_giant,US0865161014,BEST BUY CO INC,20,"Opera como un minorista de electrónica prominente, manteniendo una presencia sustancial en el mercado e influyendo en la distribución de electrónica de consumo dentro del panorama minorista en general.","La prominencia de Best Buy en el tema de los gigantes minoristas está respaldada por su posición autodescrita como el 'minorista especializado en electrónica de consumo más grande', con operaciones que abarcan tanto a EE. UU. como a Canadá. La importante presencia minorista de la compañía se demuestra aún más por su extensa red de más de mil tiendas. Esta escala sustancial y la influencia en el mercado solidifican el estatus de Best Buy como un actor importante en el sector minorista.",4817,USD,SMART,STK,"[{'name': 'bby-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bby-FY25-10-K.html'}, {'name': 'bby-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bby-Q225-10-Q.html'}]"
CA,CR,RE1,consumer and retail,retail_giant,FR0000120172,CARREFOUR SA,21,"Opera como un gigante minorista multinacional, gestionando una cartera diversa de hipermercados, supermercados y tiendas de conveniencia, junto con una creciente presencia de comercio electrónico en varios mercados globales.",,29612172,EUR,SMART,STK,
LULU,CR,RE1,consumer and retail,retail_giant,US5500211090,LULULEMON ATHLETICA INC,22,"Opera como un minorista global destacado especializado en ropa y accesorios deportivos, aprovechando una amplia red de tiendas físicas y plataformas de comercio electrónico para llegar a una amplia base de clientes.",,45157951,USD,SMART,STK,
NKE,CR,RE1,consumer and retail,retail_giant,US6541061031,NIKE INC -CL B,23,"Impulsa ventas sustanciales y cuota de mercado dentro del sector minorista global a través de su extensa red de tiendas de marca, robustos canales directos al consumidor y una amplia distribución mayorista.","La posición de NIKE como el mayor vendedor mundial de calzado y ropa deportiva establece firmemente su importancia dentro del sector minorista. Los productos de la compañía se distribuyen a través de operaciones de NIKE Direct, que incluyen tiendas minoristas y plataformas digitales propiedad de NIKE, así como a través de cuentas mayoristas que comprenden distribuidores independientes, licenciatarios y representantes de ventas en numerosos países. Dado su estatus como el mayor vendedor, NIKE ocupa una posición dominante en el mercado minorista.",10291,USD,SMART,STK,"[{'name': 'nke-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nke-Q125-10-Q.html'}]"
CVS,CR,RE1,consumer and retail,retail_giant,US1266501006,CVS HEALTH CORP,24,"Opera una vasta red de farmacias minoristas y clínicas de salud, ofreciendo una amplia gama de productos y servicios de salud, bienestar y conveniencia en numerosas comunidades.",,2585769,USD,SMART,STK,
M,CR,RE1,consumer and retail,retail_giant,US55616P1049,MACYS INC,25,"Opera como una importante cadena de grandes almacenes con una presencia nacional significativa, contribuyendo al panorama de las operaciones minoristas a gran escala.",,44475946,USD,SMART,STK,
DLTR,CR,RE1,consumer and retail,retail_giant,US2567461080,DOLLAR TREE INC,26,"Opera como un destacado minorista de descuento con una vasta red de tiendas en América del Norte, contribuyendo significativamente al panorama minorista y a la distribución de bienes de consumo.","La posición de la empresa como un operador líder de más de 16.500 tiendas minoristas de descuento, que opera a través de los segmentos Dollar Tree y Family Dollar, la establece como un actor prominente en el sector minorista. Con una presencia significativa en 48 estados, el Distrito de Columbia y cinco provincias canadienses, la extensa red de la empresa subraya su importancia como un gigante minorista. Su escala e influencia sustanciales en el mercado minorista de descuento solidifican aún más esta posición.",49388062,USD,SMART,STK,"[{'name': 'dltr-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dltr-Q224-10-Q.html'}, {'name': 'dltr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dltr-Q324-10-Q.html'}]"
TPR,CR,RE1,consumer and retail,retail_giant,US8760301072,TAPESTRY INC,27,"Opera como un gigante minorista global, gestionando una cartera diversa de marcas de moda destacadas en una extensa red de tiendas internacionales.",,292491487,USD,SMART,STK,
RL,CR,RE1,consumer and retail,retail_giant,US7512121010,RALPH LAUREN CORP,28,"Opera como un importante minorista de moda a nivel mundial, contribuyendo significativamente al panorama minorista de lujo y prendas de vestir a través de su extensa cartera de marcas y canales de distribución.",,92306678,USD,SMART,STK,
RH,CR,RE1,consumer and retail,retail_giant,US74967X1037,RH,29,Se establece como un actor líder en el mercado de mobiliario de lujo para el hogar a través de su extensa red de galerías minoristas de gran formato y su completa oferta de productos.,,258821404,USD,SMART,STK,
ACI,CR,RE1,consumer and retail,retail_giant,US0130911037,ALBERTSONS COS INC - CLASS A,30,"Opera como un importante minorista de comestibles, contribuyendo significativamente al panorama minorista a través de su extensa red de tiendas y diversa oferta de productos.","La importancia de Albertsons para el tema de la industria de Gigantes Minoristas se deriva de su posición como uno de los minoristas de alimentos más grandes de los Estados Unidos. La compañía opera una red sustancial de más de 2.273 tiendas en 34 estados y el Distrito de Columbia, respaldada por aproximadamente 285.000 empleados. Albertsons atiende a un promedio de 35,9 a 36,8 millones de clientes cada semana bajo más de 20 marcas conocidas, incluidas Albertsons, Safeway, Vons y Jewel-Osco.",429435235,USD,SMART,STK,"[{'name': 'aci-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aci-Q324-10-Q.html'}, {'name': 'aci-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aci-Q224-10-Q.html'}]"
CHWY,CR,RE1,consumer and retail,retail_giant,US16679L1098,CHEWY INC - CLASS A,31,"Opera como una entidad minorista en línea a gran escala, impactando el entorno competitivo y la participación del consumidor dentro de la industria minorista en general.","La posición de Chewy como el minorista en línea de mascotas más grande de Estados Unidos subraya su papel significativo dentro de la industria minorista. La escala y la influencia de la empresa se amplifican aún más por su oferta de prácticamente todos los productos que una mascota necesita, lo que solidifica su importancia como líder minorista en el segmento de cuidado de mascotas. Dada su presencia sustancial, Chewy demuestra una fuerte conexión con el tema de los gigantes minoristas.",370766146,USD,SMART,STK,"[{'name': 'chwy-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/chwy-Q224-10-Q.html'}]"
W,CR,RE1,consumer and retail,retail_giant,US94419L1017,WAYFAIR INC- CLASS A,32,"Opera como un minorista en línea prominente especializado en muebles y decoración para el hogar, contribuyendo significativamente al panorama del comercio electrónico de la industria minorista.","La conexión de Wayfair con el tema de la industria de Gigantes Minoristas se sustenta en su modelo de negocio de comercio electrónico, que ofrece navegación visualmente inspirada y precios atractivos para más de 30 millones de productos obtenidos de más de 20,000 proveedores. La escala significativa de la empresa se demuestra aún más por sus $11.851 mil millones en ingresos netos y una base de clientes sustancial de 21 millones de clientes activos. Esta amplia oferta de productos y el extenso alcance de clientes posicionan a Wayfair como un actor importante en el sector minorista.",168812158,USD,SMART,STK,"[{'name': 'w-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/w-FY24-10-K.html'}]"
AZO,CR,RE1,consumer and retail,retail_giant,US0533321024,AUTOZONE INC,33,"Opera como un minorista a gran escala especializado en piezas y accesorios automotrices del mercado de repuestos, manteniendo una presencia significativa dentro del sector minorista.",,4750,USD,SMART,STK,
URBN,CR,RE1,consumer and retail,retail_giant,US9170471026,URBAN OUTFITTERS INC,34,"Opera una cartera diversa de marcas minoristas, estableciendo una presencia significativa en el mercado minorista global.",,275527,USD,SMART,STK,
DKS,CR,RE1,consumer and retail,retail_giant,US2533931026,DICK'S SPORTING GOODS INC,35,"Opera como un importante minorista de artículos deportivos, ropa y calzado, contribuyendo al panorama general de las principales empresas minoristas.","DICK'S Sporting Goods se posiciona como un gigante minorista debido a su estatus como minorista líder omnicanal de artículos deportivos, operando un número sustancial de tiendas. La empresa está adquiriendo estratégicamente Foot Locker con el objetivo de establecer una posición de liderazgo mundial en la industria minorista deportiva. Esta adquisición, combinada con un sólido desempeño financiero y ganancias de cuota de mercado, refuerza la influencia y presencia de DICK'S Sporting Goods en el sector minorista, al igual que su extensa variedad de productos y múltiples formatos de tienda.",16310970,USD,SMART,STK,"[{'name': 'dks-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dks-Q324-10-Q.html'}]"
CVNA,CR,RE1,consumer and retail,retail_giant,US1468691027,CARVANA CO,36,"Opera una plataforma en línea a gran escala para la venta de automóviles usados, contribuyendo al panorama cambiante del comercio minorista digital.",,274144952,USD,SMART,STK,
DPZ,CR,RE1,consumer and retail,retail_giant,US25754A2015,DOMINO'S PIZZA INC,37,"Mantiene una vasta huella global de restaurantes de pizza, sirviendo a millones de clientes diariamente a través de sus extensas operaciones de entrega a domicilio y para llevar.",,29831612,USD,SMART,STK,
BJ,CR,RE1,consumer and retail,retail_giant,US05550J1016,BJ'S WHOLESALE CLUB HOLDINGS,38,"Opera como un club mayorista basado en membresía con numerosas ubicaciones, ofreciendo una amplia gama de productos a escala dentro del competitivo panorama minorista.",,323612220,USD,SMART,STK,
KMX,CR,RE1,consumer and retail,retail_giant,US1431301027,CARMAX INC,39,"Opera como un minorista a gran escala, contribuyendo significativamente al sector minorista a través de su amplia presencia en el mercado y su alto volumen de ventas.","La conexión de CarMax con el tema del Gigante Minorista es evidente, ya que es el minorista de vehículos usados más grande del país, lo que indica una posición dominante y operaciones extensas dentro del sector minorista. La prominencia y la escala de la empresa en la industria minorista resaltan su gran presencia. Ser el minorista más grande indica una influencia sustancial en el mercado minorista.",2586156,USD,SMART,STK,"[{'name': 'kmx-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kmx-Q325-10-Q.html'}, {'name': 'kmx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kmx-Q225-10-Q.html'}]"
