ID,SECTOR,TENDENCIA
1,Tecnología,3D Printing & Additive Manufacturing
2,Tecnología,Accelerated Computing
3,Tecnología,AI Chips
4,Tecnología,AI Consulting
5,Tecnología,AI Enterprise Integration
6,Tecnología,AI In Fintech
7,Tecnología,AI In Healthcare
8,Tecnología,AI Infrastructure
9,Tecnología,AI-driven Insights
10,Tecnología,Application Development
11,Tecnología,Artificial Intelligence
12,Tecnología,Augmented Reality
13,Tecnología,Big Data
14,Tecnología,Blockchain Services
15,Tecnología,Blockchain Technology
16,Tecnología,Cloud Computing
17,Tecnología,Cloud Infrastructure
18,Tecnología,Cloud Services
19,Tecnología,Cloud Software
20,Tecnología,Cloud Storage
21,Tecnología,Communication Tools
22,Tecnología,Content Creation
23,Tecnología,Cybersecurity
24,Tecnología,Data Analytics
25,Tecnología,Data Infrastructure
26,Tecnología,Data Networking
27,Tecnología,Data Security
28,Tecnología,Digital Economy
29,Tecnología,Digital Marketing Technology
30,Tecnología,Digital Solutions
31,Tecnología,Digital Transformation
32,Tecnología,Digital Twin Technology
33,Tecnología,Edge Computing
34,Tecnología,Education Technology
35,Tecnología,Electronic Components
36,Tecnología,Electronic Devices
37,Tecnología,Electronics Innovation
38,Tecnología,Electronics Manufacturing
39,Tecnología,Enterprise Networking
40,Tecnología,Enterprise Software
41,Tecnología,Generative AI & LLMs
42,Tecnología,Hybrid Cloud Computing
43,Tecnología,Internet Infrastructure
44,Tecnología,Internet Of Things
45,Tecnología,IT Consulting
46,Tecnología,IT Solutions
47,Tecnología,Low Code/No Code Development
48,Tecnología,Machine Learning
49,Tecnología,Metaverse
50,Tecnología,Microelectronics
51,Tecnología,Network Security
52,Tecnología,NFT Marketplaces
53,Tecnología,Open Source
54,Tecnología,Operating Systems
55,Tecnología,Privacy Compliance
56,Tecnología,Quantum Computing
57,Tecnología,Regulatory Technology
58,Tecnología,Robotic Process Automation
59,Tecnología,Robotics
60,Tecnología,SaaS
61,Tecnología,Search Engine Services
62,Tecnología,Semiconductor Chips
63,Tecnología,Semiconductor Equipment
64,Tecnología,Semiconductor Manufacturing
65,Tecnología,Semiconductor Materials
66,Tecnología,Servers
67,Tecnología,Tech Hardware Innovation
68,Tecnología,Threat Intelligence
69,Tecnología,Virtual Events & Conferencing Software
70,Tecnología,Virtual Reality
71,Tecnología,Wearables
72,Tecnología,Zero-Trust Cybersecurity
73,Energía y Utilities,Battery Materials
74,Energía y Utilities,Battery Recycling
75,Energía y Utilities,Battery Swap Technology
76,Energía y Utilities,Battery Technology
77,Energía y Utilities,Carbon Capture
78,Energía y Utilities,Clean Energy
79,Energía y Utilities,Clean Energy Tech
80,Energía y Utilities,Climate Tech
81,Energía y Utilities,Coal & Consumable Fuels
82,Energía y Utilities,Electric Utility
83,Energía y Utilities,Electricity Generation
84,Energía y Utilities,Electricity Transmission
85,Energía y Utilities,Energy Consultancy
86,Energía y Utilities,Energy Efficiency
87,Energía y Utilities,Energy Exploration
88,Energía y Utilities,Energy Exports
89,Energía y Utilities,Energy Infrastructure
90,Energía y Utilities,Energy Investments
91,Energía y Utilities,Energy Policy Compliance
92,Energía y Utilities,Energy Sector
93,Energía y Utilities,Energy Sector Supply
94,Energía y Utilities,Energy Services
95,Energía y Utilities,Energy Solutions
96,Energía y Utilities,Energy Storage
97,Energía y Utilities,Energy Transition
98,Energía y Utilities,EV Charging
99,Energía y Utilities,Gas Distribution Networks
100,Energía y Utilities,Hydrocarbon Exploration
101,Energía y Utilities,Hydrocarbon Production
102,Energía y Utilities,Hydrogen Fuel Technology
103,Energía y Utilities,LNG Projects
104,Energía y Utilities,Microgrid Solutions
105,Energía y Utilities,Natural Gas
106,Energía y Utilities,Natural Gas Infrastructure
107,Energía y Utilities,Natural Gas Production
108,Energía y Utilities,Nuclear Energy
109,Energía y Utilities,Offshore Oil
110,Energía y Utilities,Oil & Gas Services
111,Energía y Utilities,Oil Exploration
112,Energía y Utilities,Oil Production
113,Energía y Utilities,Renewable Energy
114,Energía y Utilities,Renewable Energy Equipment
115,Energía y Utilities,Renewable Energy Integration
116,Energía y Utilities,Shale Gas
117,Energía y Utilities,Solar Power
118,Energía y Utilities,Sustainable Utilities
119,Energía y Utilities,Utility Infrastructure
120,Energía y Utilities,Utility Services
121,Energía y Utilities,Utility-scale Projects
122,Energía y Utilities,Utility-scale Solar
123,Energía y Utilities,Wind Energy
124,Financiero,Alternative Investments
125,Financiero,Banking Services
126,Financiero,Banking Technology
127,Financiero,Capital Markets
128,Financiero,Commercial Banking
129,Financiero,Consumer Banking
130,Financiero,Consumer Finance
131,Financiero,Consumer Loans
132,Financiero,Credit & Lending
133,Financiero,Credit Services
134,Financiero,Cryptocurrency Trading
135,Financiero,Decentralized Finance
136,Financiero,Deposit Services
137,Financiero,Depository Services
138,Financiero,Digital Banking Expansion
139,Financiero,Digital Wallets
140,Financiero,ESG Investments
141,Financiero,Financial Exchanges
142,Financiero,Financial Marketplaces
143,Financiero,Financial Products
144,Financiero,Financial Services
145,Financiero,Fintech Solutions
146,Financiero,Green Bonds
147,Financiero,Impact Investing
148,Financiero,Institutional Trading
149,Financiero,Insurance Products
150,Financiero,Insurance Services
151,Financiero,Insurance Solutions
152,Financiero,Insurtech Partnerships
153,Financiero,Investment Banking
154,Financiero,Investment Management
155,Financiero,Loan Origination
156,Financiero,Mobile Payments
157,Financiero,Mortgage Banking
158,Financiero,Mortgage Financing Services
159,Financiero,Mortgage REIT
160,Financiero,Online Banking
161,Financiero,Open Banking Solutions
162,Financiero,Payment Solutions
163,Financiero,Private Equity
164,Financiero,Reinsurance
165,Financiero,Retail Banking Innovation
166,Financiero,SME Financial Services
167,Financiero,Socially Responsible Investing
168,Financiero,Sustainable Finance
169,Financiero,Venture Capital
170,Financiero,Wealth Management Services
171,Salud,Biologic Drugs
172,Salud,Biologics Solutions
173,Salud,Biopharma Royalties
174,Salud,Biopharmaceutical Manufacturing
175,Salud,Biopharmaceutical Partnerships
176,Salud,Biosimilars
177,Salud,Biotech R&D
178,Salud,Biotech Treatments
179,Salud,Biotechnology Leader
180,Salud,Cardiovascular Disease
181,Salud,Clinical Trials
182,Salud,Consumer Health Products
183,Salud,CRISPR Technology
184,Salud,Diabetes Treatments
185,Salud,Digital Health Engagement
186,Salud,Digital Therapeutics
187,Salud,Drug Commercialization
188,Salud,Drug Development
189,Salud,Gene Editing
190,Salud,Gene Therapy
191,Salud,Genetic Medicines
192,Salud,Genomic Medicine
193,Salud,Healthcare Automation
194,Salud,Healthcare Diagnostics
195,Salud,Healthcare Materials
196,Salud,Healthcare Monitoring
197,Salud,Healthcare Retail
198,Salud,Healthcare Services
199,Salud,Healthcare Solutions
200,Salud,Immunology
201,Salud,Life Sciences
202,Salud,Medical Devices
203,Salud,Medical Imaging AI
204,Salud,Medical Innovation
205,Salud,Medical Supplies
206,Salud,Mental Health Services
207,Salud,Neuroscience
208,Salud,Nutraceuticals
209,Salud,Obesity Treatments
210,Salud,Oncology Drugs
211,Salud,Oncology Research
212,Salud,Pain Management
213,Salud,Personal Care Products
214,Salud,Personalized Medicine
215,Salud,Pet Care Products
216,Salud,Pharmaceuticals
217,Salud,Pharmacy Benefit Management
218,Salud,Regenerative Medicine
219,Salud,Surgical Robotics
220,Salud,Telehealth
221,Salud,Telemedicine
222,Industrial,Aerospace Manufacturing
223,Industrial,Aerospace Materials
224,Industrial,Agricultural Chemicals
225,Industrial,Apparel Manufacturing
226,Industrial,Beverage Manufacturing
227,Industrial,Chemical Manufacturing
228,Industrial,Chip Manufacturing
229,Industrial,Civil Infrastructure
230,Industrial,Circular Economy
231,Industrial,Construction Materials
232,Industrial,Construction Services
233,Industrial,Construction Technology
234,Industrial,Electrical Components & Equipment
235,Industrial,Engineering Services
236,Industrial,Environmental Technologies
237,Industrial,Food Processing
238,Industrial,Forest Products
239,Industrial,Heavy Industry Supply
240,Industrial,Industrial Applications
241,Industrial,Industrial Automation
242,Industrial,Industrial Chemicals
243,Industrial,Industrial Coatings
244,Industrial,Industrial Digitization
245,Industrial,Industrial Distribution
246,Industrial,Industrial Diversification
247,Industrial,Industrial Electronics
248,Industrial,Industrial Fasteners
249,Industrial,Industrial Gas Turbine
250,Industrial,Industrial Machinery
251,Industrial,Industrial Products
252,Industrial,Industrial Prototyping
253,Industrial,Industrial Sensors
254,Industrial,Industrial Software
255,Industrial,Industrial Supplies
256,Industrial,Industrial Technologies
257,Industrial,Infrastructure Development
258,Industrial,Manufacturing
259,Industrial,Metal Fabrication
260,Industrial,Metal Recycling Technology
261,Industrial,Nanotechnology Applications
262,Industrial,Paper Products
263,Industrial,Recycling Services
264,Industrial,Smart Infrastructure
265,Industrial,Steel Industry
266,Industrial,Steel Recycling Leader
267,Industrial,Sustainable Infrastructure
268,Industrial,Sustainable Products
269,Industrial,Waste Management
270,Industrial,Water Treatment
271,Consumo y Retail,Advertising
272,Consumo y Retail,Beverage Innovation
273,Consumo y Retail,Brick-and-mortar Presence
274,Consumo y Retail,Clothing And Accessories
275,Consumo y Retail,Consumer Behavior
276,Consumo y Retail,Consumer Brands
277,Consumo y Retail,Consumer Electronics
278,Consumo y Retail,Consumer Packaging
279,Consumo y Retail,Consumer Products
280,Consumo y Retail,Consumer Staples
281,Consumo y Retail,Consumer-to-consumer
282,Consumo y Retail,Convenience Stores
283,Consumo y Retail,Discount Retail
284,Consumo y Retail,E-Commerce
285,Consumo y Retail,Fast Food Leader
286,Consumo y Retail,Food And Beverage
287,Consumo y Retail,Food Delivery
288,Consumo y Retail,Food Ingredients
289,Consumo y Retail,Footwear Innovation
290,Consumo y Retail,Franchise Model
291,Consumo y Retail,Grocery Retail
292,Consumo y Retail,Health-conscious Branding
293,Consumo y Retail,Home Furnishings
294,Consumo y Retail,Home Improvement
295,Consumo y Retail,Household Products
296,Consumo y Retail,Leisure Products
297,Consumo y Retail,Loyalty Programs
298,Consumo y Retail,Luxury Branding
299,Consumo y Retail,Omnichannel Strategy
300,Consumo y Retail,Online Marketplace
301,Consumo y Retail,Online Shopping
302,Consumo y Retail,Organic Products
303,Consumo y Retail,Packaged Foods
304,Consumo y Retail,Plant-based Alternatives
305,Consumo y Retail,Plant-based Products
306,Consumo y Retail,Restaurant Expansion
307,Consumo y Retail,Retail And Foodservice
308,Consumo y Retail,Retail Furniture
309,Consumo y Retail,Retail Giant
310,Consumo y Retail,Retail Innovation
311,Consumo y Retail,Retail Partnerships
312,Consumo y Retail,Retail Segment
313,Consumo y Retail,Retail Technology Solutions
314,Consumo y Retail,Specialty Foods
315,Consumo y Retail,Sporting Goods Retail
316,Consumo y Retail,Sustainable Ingredients
317,Inmobiliario,Affordable Housing
318,Inmobiliario,Commercial Real Estate
319,Inmobiliario,Data Center REITs
320,Inmobiliario,Energy-efficient Homes
321,Inmobiliario,Homebuilding
322,Inmobiliario,Housing Market Resilience
323,Inmobiliario,Industrial Real Estate
324,Inmobiliario,Multi-Family Residential
325,Inmobiliario,Property Leasing
326,Inmobiliario,Property Management
327,Inmobiliario,Property Redevelopment
328,Inmobiliario,Real Estate Development
329,Inmobiliario,Real Estate Holdings
330,Inmobiliario,Real Estate Innovation
331,Inmobiliario,Real Estate Investment Trust
332,Inmobiliario,Residential Real Estate
333,Inmobiliario,Residential REIT
334,Inmobiliario,Retail REIT
335,Inmobiliario,Retail Space Leasing
336,Inmobiliario,Single-family Rentals
337,Inmobiliario,Urban Housing
338,Inmobiliario,Urban Property Development
339,Inmobiliario,Urban Real Estate
340,Materiales y Minería,Aluminum Production
341,Materiales y Minería,Bioplastics & Sustainable Packaging
342,Materiales y Minería,Copper Mining
343,Materiales y Minería,Critical Minerals
344,Materiales y Minería,Gold Production
345,Materiales y Minería,Iron Ore Mining
346,Materiales y Minería,Lithium Production
347,Materiales y Minería,Mineral Reserves
348,Materiales y Minería,Mineral Rights
349,Materiales y Minería,Mining Equipment
350,Materiales y Minería,Mining Exploration
351,Materiales y Minería,Mining Innovation
352,Materiales y Minería,Mining Services
353,Materiales y Minería,Precious Metals
354,Materiales y Minería,Rare Earth Elements
355,Transporte y Logística,Airlines
356,Transporte y Logística,Automotive Aftermarket
357,Transporte y Logística,Automotive E-commerce
358,Transporte y Logística,Automotive Logistics
359,Automotive,Automotive Parts
360,Automotive,Automotive Technology
361,Automotive,Autonomous Driving
362,Automotive,Autonomous Vehicles
363,Transporte y Logística,Car Rental Integration
364,Transporte y Logística,Cargo Services
365,Automotive,Commercial EVs
366,Transporte y Logística,Commercial Fleets
367,Automotive,Connected Vehicles
368,Transporte y Logística,Cruise Operations
369,Transporte y Logística,Drone Delivery Systems
370,Transporte y Logística,E-Commerce Logistics
371,Transporte y Logística,Electric Aviation
372,Automotive,Electric Vehicles
373,Transporte y Logística,Fleet Management Solutions
374,Transporte y Logística,Foodservice Distribution
375,Transporte y Logística,Freight Brokerage
376,Transporte y Logística,Freight Forwarding
377,Transporte y Logística,Global Logistics
378,Transporte y Logística,Hybrid Vehicles
379,Transporte y Logística,Industrial Transportation
380,Transporte y Logística,Inventory Management
381,Transporte y Logística,Last-mile Logistics
382,Transporte y Logística,Logistics Innovation
383,Transporte y Logística,Logistics Network
384,Transporte y Logística,Marine Transportation
385,Transporte y Logística,Mobility Solutions
386,Transporte y Logística,Rail Freight Transport
387,Transporte y Logística,Ride-sharing Services
388,Transporte y Logística,Shipping Routes
389,Transporte y Logística,Smart Mobility
390,Transporte y Logística,Supply Chain Automation
391,Transporte y Logística,Supply Chain Management
392,Transporte y Logística,Supply Chain Solutions
393,Transporte y Logística,Transportation
394,Transporte y Logística,Truckload Services
395,Transporte y Logística,Urban Transportation
396,Automotive,Vehicle Software
397,Transporte y Logística,Vehicle-to-grid Technology
398,Transporte y Logística,Warehouse Management
399,Entretenimiento y Medios,Audio Solutions
400,Entretenimiento y Medios,Casino Gaming
401,Entretenimiento y Medios,Digital Entertainment
402,Entretenimiento y Medios,Entertainment Industry
403,Entretenimiento y Medios,Entertainment Resorts
404,Entretenimiento y Medios,Entertainment Services
405,Entretenimiento y Medios,Esports And Gaming
406,Entretenimiento y Medios,Film Production
407,Entretenimiento y Medios,Gaming Hardware
408,Entretenimiento y Medios,Gaming Industry
409,Entretenimiento y Medios,Gaming Technology
410,Entretenimiento y Medios,Interactive Entertainment
411,Entretenimiento y Medios,Media Broadcasting
412,Entretenimiento y Medios,Media Diversification
413,Entretenimiento y Medios,Media Networks
414,Entretenimiento y Medios,Mobile Gaming
415,Entretenimiento y Medios,Music Production
416,Entretenimiento y Medios,Online Gaming
417,Entretenimiento y Medios,Original Content
418,Entretenimiento y Medios,Resort Destinations
419,Entretenimiento y Medios,Social Media Platforms
420,Entretenimiento y Medios,Social Networking
421,Entretenimiento y Medios,Sports Entertainment
422,Entretenimiento y Medios,Sports Franchises
423,Entretenimiento y Medios,Streaming Platforms & Services
424,Entretenimiento y Medios,Theme Parks
425,Entretenimiento y Medios,Travel Platform
426,Entretenimiento y Medios,Video Games
427,Agricultura,Agribusiness
428,Agricultura,Agricultural Commodities
429,Agricultura,Agricultural Processing
430,Agricultura,Agriculture Technology
431,Agricultura,Biotechnology in Agriculture
432,Agricultura,Crop Protection
433,Agricultura,Farm Equipment IoT
434,Agricultura,Organic Farming
435,Agricultura,Precision Agriculture
436,Agricultura,Sustainable Agriculture
437,Defensa y Aeroespacial,Aerospace Defense
438,Defensa y Aeroespacial,Aviation Finance
439,Defensa y Aeroespacial,Aviation Safety
440,Defensa y Aeroespacial,Aviation Systems
441,Defensa y Aeroespacial,Defense Contracting
442,Defensa y Aeroespacial,Defense Drones
443,Defensa y Aeroespacial,Defense Electronics
444,Defensa y Aeroespacial,Defense Technology
445,Defensa y Aeroespacial,Military Applications
446,Defensa y Aeroespacial,Missile Defense
447,Defensa y Aeroespacial,Space Exploration
448,Defensa y Aeroespacial,Unmanned Systems
449,Telecomunicaciones,5G Infrastructure
450,Telecomunicaciones,5G Rollout
451,Telecomunicaciones,5G Technology Support
452,Telecomunicaciones,Broadband Services
453,Telecomunicaciones,Fiber Optic Communications
454,Telecomunicaciones,Satellite Communications
455,Telecomunicaciones,Satellite Technology
456,Telecomunicaciones,Telecommunications Equipment
457,Telecomunicaciones,Telecommunications Infrastructure
458,Telecomunicaciones,Wireless Infrastructure
459,Telecomunicaciones,Wireless Services
460,Automotriz,Automobile Manufacturers
461,Automotriz,Automotive Displays
462,Automotriz,Automotive Electronics
463,Automotriz,Automotive Semiconductors
464,Automotriz,Automotive Sensors
465,Automotriz,Automotive Steel Products
466,Automotriz,Automotive Telematics
467,Hospitalidad,Foodservice Solutions
468,Hospitalidad,Hospitality Industry
469,Hospitalidad,Hospitality Management
470,Hospitalidad,Hotel Operations
471,Hospitalidad,Luxury Hotels
472,Servicios Profesionales,Consulting Services
473,Servicios Profesionales,Marketing Services
474,Otros,Data Centers
475,Otros,Memory Chips
476,Otros,Optoelectronics
477,Otros,PC Manufacturing
478,Otros,Professional Visualization
479,Otros,Smartphones
480,Otros,Synthetic Biology
