id,sector,trend,original_id
agr1,Agriculture,Agribusiness,427
agr2,Agriculture,Agricultural Commodities,428
agr3,Agriculture,Agricultural Processing,429
agr4,Agriculture,Agriculture Technology,430
agr5,Agriculture,Biotechnology in Agriculture,431
agr6,Agriculture,Crop Protection,432
agr7,Agriculture,Farm Equipment IoT,433
agr8,Agriculture,Organic Farming,434
agr9,Agriculture,Precision Agriculture,435
agr10,Agriculture,Sustainable Agriculture,436
aut1,Automotive,Automotive Parts,359
aut2,Automotive,Automotive Technology,360
aut3,Automotive,Autonomous Driving,361
aut4,Automotive,Autonomous Vehicles,362
aut5,Automotive,Commercial EVs,365
aut6,Automotive,Connected Vehicles,367
aut7,Automotive,Electric Vehicles,372
aut8,Automotive,Vehicle Software,396
aut1,Automotive,Automobile Manufacturers,460
aut2,Automotive,Automotive Displays,461
aut3,Automotive,Automotive Electronics,462
aut4,Automotive,Automotive Semiconductors,463
aut5,Automotive,Automotive Sensors,464
aut6,Automotive,Automotive Steel Products,465
aut7,Automotive,Automotive Telematics,466
con1,Consumer and Retail,Advertising,271
con2,Consumer and Retail,Beverage Innovation,272
con3,Consumer and Retail,Brick-and-mortar Presence,273
con4,Consumer and Retail,Clothing And Accessories,274
con5,Consumer and Retail,Consumer Behavior,275
con6,Consumer and Retail,Consumer Brands,276
con7,Consumer and Retail,Consumer Electronics,277
con8,Consumer and Retail,Consumer Packaging,278
con9,Consumer and Retail,Consumer Products,279
con10,Consumer and Retail,Consumer Staples,280
con11,Consumer and Retail,Consumer-to-consumer,281
con12,Consumer and Retail,Convenience Stores,282
con13,Consumer and Retail,Discount Retail,283
con14,Consumer and Retail,E-Commerce,284
con15,Consumer and Retail,Fast Food Leader,285
con16,Consumer and Retail,Food And Beverage,286
con17,Consumer and Retail,Food Delivery,287
con18,Consumer and Retail,Food Ingredients,288
con19,Consumer and Retail,Footwear Innovation,289
con20,Consumer and Retail,Franchise Model,290
con21,Consumer and Retail,Grocery Retail,291
con22,Consumer and Retail,Health-conscious Branding,292
con23,Consumer and Retail,Home Furnishings,293
con24,Consumer and Retail,Home Improvement,294
con25,Consumer and Retail,Household Products,295
con26,Consumer and Retail,Leisure Products,296
con27,Consumer and Retail,Loyalty Programs,297
con28,Consumer and Retail,Luxury Branding,298
con29,Consumer and Retail,Omnichannel Strategy,299
con30,Consumer and Retail,Online Marketplace,300
con31,Consumer and Retail,Online Shopping,301
con32,Consumer and Retail,Organic Products,302
con33,Consumer and Retail,Packaged Foods,303
con34,Consumer and Retail,Plant-based Alternatives,304
con35,Consumer and Retail,Plant-based Products,305
con36,Consumer and Retail,Restaurant Expansion,306
con37,Consumer and Retail,Retail And Foodservice,307
con38,Consumer and Retail,Retail Furniture,308
con39,Consumer and Retail,Retail Giant,309
con40,Consumer and Retail,Retail Innovation,310
con41,Consumer and Retail,Retail Partnerships,311
con42,Consumer and Retail,Retail Segment,312
con43,Consumer and Retail,Retail Technology Solutions,313
con44,Consumer and Retail,Specialty Foods,314
con45,Consumer and Retail,Sporting Goods Retail,315
con46,Consumer and Retail,Sustainable Ingredients,316
def1,Defense and Aerospace,Aerospace Defense,437
def2,Defense and Aerospace,Aviation Finance,438
def3,Defense and Aerospace,Aviation Safety,439
def4,Defense and Aerospace,Aviation Systems,440
def5,Defense and Aerospace,Defense Contracting,441
def6,Defense and Aerospace,Defense Drones,442
def7,Defense and Aerospace,Defense Electronics,443
def8,Defense and Aerospace,Defense Technology,444
def9,Defense and Aerospace,Military Applications,445
def10,Defense and Aerospace,Missile Defense,446
def11,Defense and Aerospace,Space Exploration,447
def12,Defense and Aerospace,Unmanned Systems,448
ene1,Energy and Utilities,Battery Materials,73
ene2,Energy and Utilities,Battery Recycling,74
ene3,Energy and Utilities,Battery Swap Technology,75
ene4,Energy and Utilities,Battery Technology,76
ene5,Energy and Utilities,Carbon Capture,77
ene6,Energy and Utilities,Clean Energy,78
ene7,Energy and Utilities,Clean Energy Tech,79
ene8,Energy and Utilities,Climate Tech,80
ene9,Energy and Utilities,Coal & Consumable Fuels,81
ene10,Energy and Utilities,Electric Utility,82
ene11,Energy and Utilities,Electricity Generation,83
ene12,Energy and Utilities,Electricity Transmission,84
ene13,Energy and Utilities,Energy Consultancy,85
ene14,Energy and Utilities,Energy Efficiency,86
ene15,Energy and Utilities,Energy Exploration,87
ene16,Energy and Utilities,Energy Exports,88
ene17,Energy and Utilities,Energy Infrastructure,89
ene18,Energy and Utilities,Energy Investments,90
ene19,Energy and Utilities,Energy Policy Compliance,91
ene20,Energy and Utilities,Energy Sector,92
ene21,Energy and Utilities,Energy Sector Supply,93
ene22,Energy and Utilities,Energy Services,94
ene23,Energy and Utilities,Energy Solutions,95
ene24,Energy and Utilities,Energy Storage,96
ene25,Energy and Utilities,Energy Transition,97
ene26,Energy and Utilities,EV Charging,98
ene27,Energy and Utilities,Gas Distribution Networks,99
ene28,Energy and Utilities,Hydrocarbon Exploration,100
ene29,Energy and Utilities,Hydrocarbon Production,101
ene30,Energy and Utilities,Hydrogen Fuel Technology,102
ene31,Energy and Utilities,LNG Projects,103
ene32,Energy and Utilities,Microgrid Solutions,104
ene33,Energy and Utilities,Natural Gas,105
ene34,Energy and Utilities,Natural Gas Infrastructure,106
ene35,Energy and Utilities,Natural Gas Production,107
ene36,Energy and Utilities,Nuclear Energy,108
ene37,Energy and Utilities,Offshore Oil,109
ene38,Energy and Utilities,Oil & Gas Services,110
ene39,Energy and Utilities,Oil Exploration,111
ene40,Energy and Utilities,Oil Production,112
ene41,Energy and Utilities,Renewable Energy,113
ene42,Energy and Utilities,Renewable Energy Equipment,114
ene43,Energy and Utilities,Renewable Energy Integration,115
ene44,Energy and Utilities,Shale Gas,116
ene45,Energy and Utilities,Solar Power,117
ene46,Energy and Utilities,Sustainable Utilities,118
ene47,Energy and Utilities,Utility Infrastructure,119
ene48,Energy and Utilities,Utility Services,120
ene49,Energy and Utilities,Utility-scale Projects,121
ene50,Energy and Utilities,Utility-scale Solar,122
ene51,Energy and Utilities,Wind Energy,123
ent1,Entertainment and Media,Audio Solutions,399
ent2,Entertainment and Media,Casino Gaming,400
ent3,Entertainment and Media,Digital Entertainment,401
ent4,Entertainment and Media,Entertainment Industry,402
ent5,Entertainment and Media,Entertainment Resorts,403
ent6,Entertainment and Media,Entertainment Services,404
ent7,Entertainment and Media,Esports And Gaming,405
ent8,Entertainment and Media,Film Production,406
ent9,Entertainment and Media,Gaming Hardware,407
ent10,Entertainment and Media,Gaming Industry,408
ent11,Entertainment and Media,Gaming Technology,409
ent12,Entertainment and Media,Interactive Entertainment,410
ent13,Entertainment and Media,Media Broadcasting,411
ent14,Entertainment and Media,Media Diversification,412
ent15,Entertainment and Media,Media Networks,413
ent16,Entertainment and Media,Mobile Gaming,414
ent17,Entertainment and Media,Music Production,415
ent18,Entertainment and Media,Online Gaming,416
ent19,Entertainment and Media,Original Content,417
ent20,Entertainment and Media,Resort Destinations,418
ent21,Entertainment and Media,Social Media Platforms,419
ent22,Entertainment and Media,Social Networking,420
ent23,Entertainment and Media,Sports Entertainment,421
ent24,Entertainment and Media,Sports Franchises,422
ent25,Entertainment and Media,Streaming Platforms & Services,423
ent26,Entertainment and Media,Theme Parks,424
ent27,Entertainment and Media,Travel Platform,425
ent28,Entertainment and Media,Video Games,426
fin1,Financials,Alternative Investments,124
fin2,Financials,Banking Services,125
fin3,Financials,Banking Technology,126
fin4,Financials,Capital Markets,127
fin5,Financials,Commercial Banking,128
fin6,Financials,Consumer Banking,129
fin7,Financials,Consumer Finance,130
fin8,Financials,Consumer Loans,131
fin9,Financials,Credit & Lending,132
fin10,Financials,Credit Services,133
fin11,Financials,Cryptocurrency Trading,134
fin12,Financials,Decentralized Finance,135
fin13,Financials,Deposit Services,136
fin14,Financials,Depository Services,137
fin15,Financials,Digital Banking Expansion,138
fin16,Financials,Digital Wallets,139
fin17,Financials,ESG Investments,140
fin18,Financials,Financial Exchanges,141
fin19,Financials,Financial Marketplaces,142
fin20,Financials,Financial Products,143
fin21,Financials,Financial Services,144
fin22,Financials,Fintech Solutions,145
fin23,Financials,Green Bonds,146
fin24,Financials,Impact Investing,147
fin25,Financials,Institutional Trading,148
fin26,Financials,Insurance Products,149
fin27,Financials,Insurance Services,150
fin28,Financials,Insurance Solutions,151
fin29,Financials,Insurtech Partnerships,152
fin30,Financials,Investment Banking,153
fin31,Financials,Investment Management,154
fin32,Financials,Loan Origination,155
fin33,Financials,Mobile Payments,156
fin34,Financials,Mortgage Banking,157
fin35,Financials,Mortgage Financing Services,158
fin36,Financials,Mortgage REIT,159
fin37,Financials,Online Banking,160
fin38,Financials,Open Banking Solutions,161
fin39,Financials,Payment Solutions,162
fin40,Financials,Private Equity,163
fin41,Financials,Reinsurance,164
fin42,Financials,Retail Banking Innovation,165
fin43,Financials,SME Financial Services,166
fin44,Financials,Socially Responsible Investing,167
fin45,Financials,Sustainable Finance,168
fin46,Financials,Venture Capital,169
fin47,Financials,Wealth Management Services,170
hos1,Hospitality,Foodservice Solutions,467
hos2,Hospitality,Hospitality Industry,468
hos3,Hospitality,Hospitality Management,469
hos4,Hospitality,Hotel Operations,470
hos5,Hospitality,Luxury Hotels,471
ind1,Industrial,Aerospace Manufacturing,222
ind2,Industrial,Aerospace Materials,223
ind3,Industrial,Agricultural Chemicals,224
ind4,Industrial,Apparel Manufacturing,225
ind5,Industrial,Beverage Manufacturing,226
ind6,Industrial,Chemical Manufacturing,227
ind7,Industrial,Chip Manufacturing,228
ind8,Industrial,Civil Infrastructure,229
ind9,Industrial,Circular Economy,230
ind10,Industrial,Construction Materials,231
ind11,Industrial,Construction Services,232
ind12,Industrial,Construction Technology,233
ind13,Industrial,Electrical Components & Equipment,234
ind14,Industrial,Engineering Services,235
ind15,Industrial,Environmental Technologies,236
ind16,Industrial,Food Processing,237
ind17,Industrial,Forest Products,238
ind18,Industrial,Heavy Industry Supply,239
ind19,Industrial,Industrial Applications,240
ind20,Industrial,Industrial Automation,241
ind21,Industrial,Industrial Chemicals,242
ind22,Industrial,Industrial Coatings,243
ind23,Industrial,Industrial Digitization,244
ind24,Industrial,Industrial Distribution,245
ind25,Industrial,Industrial Diversification,246
ind26,Industrial,Industrial Electronics,247
ind27,Industrial,Industrial Fasteners,248
ind28,Industrial,Industrial Gas Turbine,249
ind29,Industrial,Industrial Machinery,250
ind30,Industrial,Industrial Products,251
ind31,Industrial,Industrial Prototyping,252
ind32,Industrial,Industrial Sensors,253
ind33,Industrial,Industrial Software,254
ind34,Industrial,Industrial Supplies,255
ind35,Industrial,Industrial Technologies,256
ind36,Industrial,Infrastructure Development,257
ind37,Industrial,Manufacturing,258
ind38,Industrial,Metal Fabrication,259
ind39,Industrial,Metal Recycling Technology,260
ind40,Industrial,Nanotechnology Applications,261
ind41,Industrial,Paper Products,262
ind42,Industrial,Recycling Services,263
ind43,Industrial,Smart Infrastructure,264
ind44,Industrial,Steel Industry,265
ind45,Industrial,Steel Recycling Leader,266
ind46,Industrial,Sustainable Infrastructure,267
ind47,Industrial,Sustainable Products,268
ind48,Industrial,Waste Management,269
ind49,Industrial,Water Treatment,270
inm1,Real Estate,Affordable Housing,317
inm2,Real Estate,Commercial Real Estate,318
inm3,Real Estate,Data Center REITs,319
inm4,Real Estate,Energy-efficient Homes,320
inm5,Real Estate,Homebuilding,321
inm6,Real Estate,Housing Market Resilience,322
inm7,Real Estate,Industrial Real Estate,323
inm8,Real Estate,Multi-Family Residential,324
inm9,Real Estate,Property Leasing,325
inm10,Real Estate,Property Management,326
inm11,Real Estate,Property Redevelopment,327
inm12,Real Estate,Real Estate Development,328
inm13,Real Estate,Real Estate Holdings,329
inm14,Real Estate,Real Estate Innovation,330
inm15,Real Estate,Real Estate Investment Trust,331
inm16,Real Estate,Residential Real Estate,332
inm17,Real Estate,Residential REIT,333
inm18,Real Estate,Retail REIT,334
inm19,Real Estate,Retail Space Leasing,335
inm20,Real Estate,Single-family Rentals,336
inm21,Real Estate,Urban Housing,337
inm22,Real Estate,Urban Property Development,338
inm23,Real Estate,Urban Real Estate,339
mat1,Materials and Mining,Aluminum Production,340
mat2,Materials and Mining,Bioplastics & Sustainable Packaging,341
mat3,Materials and Mining,Copper Mining,342
mat4,Materials and Mining,Critical Minerals,343
mat5,Materials and Mining,Gold Production,344
mat6,Materials and Mining,Iron Ore Mining,345
mat7,Materials and Mining,Lithium Production,346
mat8,Materials and Mining,Mineral Reserves,347
mat9,Materials and Mining,Mineral Rights,348
mat10,Materials and Mining,Mining Equipment,349
mat11,Materials and Mining,Mining Exploration,350
mat12,Materials and Mining,Mining Innovation,351
mat13,Materials and Mining,Mining Services,352
mat14,Materials and Mining,Precious Metals,353
mat15,Materials and Mining,Rare Earth Elements,354
otr1,Other,Data Centers,474
otr2,Other,Memory Chips,475
otr3,Other,Optoelectronics,476
otr4,Other,PC Manufacturing,477
otr5,Other,Professional Visualization,478
otr6,Other,Smartphones,479
otr7,Other,Synthetic Biology,480
sal1,Health,Biologic Drugs,171
sal2,Health,Biologics Solutions,172
sal3,Health,Biopharma Royalties,173
sal4,Health,Biopharmaceutical Manufacturing,174
sal5,Health,Biopharmaceutical Partnerships,175
sal6,Health,Biosimilars,176
sal7,Health,Biotech R&D,177
sal8,Health,Biotech Treatments,178
sal9,Health,Biotechnology Leader,179
sal10,Health,Cardiovascular Disease,180
sal11,Health,Clinical Trials,181
sal12,Health,Consumer Health Products,182
sal13,Health,CRISPR Technology,183
sal14,Health,Diabetes Treatments,184
sal15,Health,Digital Health Engagement,185
sal16,Health,Digital Therapeutics,186
sal17,Health,Drug Commercialization,187
sal18,Health,Drug Development,188
sal19,Health,Gene Editing,189
sal20,Health,Gene Therapy,190
sal21,Health,Genetic Medicines,191
sal22,Health,Genomic Medicine,192
sal23,Health,Healthcare Automation,193
sal24,Health,Healthcare Diagnostics,194
sal25,Health,Healthcare Materials,195
sal26,Health,Healthcare Monitoring,196
sal27,Health,Healthcare Retail,197
sal28,Health,Healthcare Services,198
sal29,Health,Healthcare Solutions,199
sal30,Health,Immunology,200
sal31,Health,Life Sciences,201
sal32,Health,Medical Devices,202
sal33,Health,Medical Imaging AI,203
sal34,Health,Medical Innovation,204
sal35,Health,Medical Supplies,205
sal36,Health,Mental Health Services,206
sal37,Health,Neuroscience,207
sal38,Health,Nutraceuticals,208
sal39,Health,Obesity Treatments,209
sal40,Health,Oncology Drugs,210
sal41,Health,Oncology Research,211
sal42,Health,Pain Management,212
sal43,Health,Personal Care Products,213
sal44,Health,Personalized Medicine,214
sal45,Health,Pet Care Products,215
sal46,Health,Pharmaceuticals,216
sal47,Health,Pharmacy Benefit Management,217
sal48,Health,Regenerative Medicine,218
sal49,Health,Surgical Robotics,219
sal50,Health,Telehealth,220
sal51,Health,Telemedicine,221
ser1,Professional Services,Consulting Services,472
ser2,Professional Services,Marketing Services,473
tec1,Technology,3D Printing & Additive Manufacturing,1
tec2,Technology,Accelerated Computing,2
tec3,Technology,AI Chips,3
tec4,Technology,AI Consulting,4
tec5,Technology,AI Enterprise Integration,5
tec6,Technology,AI In Fintech,6
tec7,Technology,AI In Healthcare,7
tec8,Technology,AI Infrastructure,8
tec9,Technology,AI-driven Insights,9
tec10,Technology,Application Development,10
tec11,Technology,Artificial Intelligence,11
tec12,Technology,Augmented Reality,12
tec13,Technology,Big Data,13
tec14,Technology,Blockchain Services,14
tec15,Technology,Blockchain Technology,15
tec16,Technology,Cloud Computing,16
tec17,Technology,Cloud Infrastructure,17
tec18,Technology,Cloud Services,18
tec19,Technology,Cloud Software,19
tec20,Technology,Cloud Storage,20
tec21,Technology,Communication Tools,21
tec22,Technology,Content Creation,22
tec23,Technology,Cybersecurity,23
tec24,Technology,Data Analytics,24
tec25,Technology,Data Infrastructure,25
tec26,Technology,Data Networking,26
tec27,Technology,Data Security,27
tec28,Technology,Digital Economy,28
tec29,Technology,Digital Marketing Technology,29
tec30,Technology,Digital Solutions,30
tec31,Technology,Digital Transformation,31
tec32,Technology,Digital Twin Technology,32
tec33,Technology,Edge Computing,33
tec34,Technology,Education Technology,34
tec35,Technology,Electronic Components,35
tec36,Technology,Electronic Devices,36
tec37,Technology,Electronics Innovation,37
tec38,Technology,Electronics Manufacturing,38
tec39,Technology,Enterprise Networking,39
tec40,Technology,Enterprise Software,40
tec41,Technology,Generative AI & LLMs,41
tec42,Technology,Hybrid Cloud Computing,42
tec43,Technology,Internet Infrastructure,43
tec44,Technology,Internet Of Things,44
tec45,Technology,IT Consulting,45
tec46,Technology,IT Solutions,46
tec47,Technology,Low Code/No Code Development,47
tec48,Technology,Machine Learning,48
tec49,Technology,Metaverse,49
tec50,Technology,Microelectronics,50
tec51,Technology,Network Security,51
tec52,Technology,NFT Marketplaces,52
tec53,Technology,Open Source,53
tec54,Technology,Operating Systems,54
tec55,Technology,Privacy Compliance,55
tec56,Technology,Quantum Computing,56
tec57,Technology,Regulatory Technology,57
tec58,Technology,Robotic Process Automation,58
tec59,Technology,Robotics,59
tec60,Technology,SaaS,60
tec61,Technology,Search Engine Services,61
tec62,Technology,Semiconductor Chips,62
tec63,Technology,Semiconductor Equipment,63
tec64,Technology,Semiconductor Manufacturing,64
tec65,Technology,Semiconductor Materials,65
tec66,Technology,Servers,66
tec67,Technology,Tech Hardware Innovation,67
tec68,Technology,Threat Intelligence,68
tec69,Technology,Virtual Events & Conferencing Software,69
tec70,Technology,Virtual Reality,70
tec71,Technology,Wearables,71
tec72,Technology,Zero-Trust Cybersecurity,72
tel1,Telecommunications,5G Infrastructure,449
tel2,Telecommunications,5G Rollout,450
tel3,Telecommunications,5G Technology Support,451
tel4,Telecommunications,Broadband Services,452
tel5,Telecommunications,Fiber Optic Communications,453
tel6,Telecommunications,Satellite Communications,454
tel7,Telecommunications,Satellite Technology,455
tel8,Telecommunications,Telecommunications Equipment,456
tel9,Telecommunications,Telecommunications Infrastructure,457
tel10,Telecommunications,Wireless Infrastructure,458
tel11,Telecommunications,Wireless Services,459
tra1,Transportation and Logistics,Airlines,355
tra2,Transportation and Logistics,Automotive Aftermarket,356
tra3,Transportation and Logistics,Automotive E-commerce,357
tra4,Transportation and Logistics,Automotive Logistics,358
tra5,Transportation and Logistics,Car Rental Integration,363
tra6,Transportation and Logistics,Cargo Services,364
tra7,Transportation and Logistics,Commercial Fleets,366
tra8,Transportation and Logistics,Cruise Operations,368
tra9,Transportation and Logistics,Drone Delivery Systems,369
tra10,Transportation and Logistics,E-Commerce Logistics,370
tra11,Transportation and Logistics,Electric Aviation,371
tra12,Transportation and Logistics,Fleet Management Solutions,373
tra13,Transportation and Logistics,Foodservice Distribution,374
tra14,Transportation and Logistics,Freight Brokerage,375
tra15,Transportation and Logistics,Freight Forwarding,376
tra16,Transportation and Logistics,Global Logistics,377
tra17,Transportation and Logistics,Hybrid Vehicles,378
tra18,Transportation and Logistics,Industrial Transportation,379
tra19,Transportation and Logistics,Inventory Management,380
tra20,Transportation and Logistics,Last-mile Logistics,381
tra21,Transportation and Logistics,Logistics Innovation,382
tra22,Transportation and Logistics,Logistics Network,383
tra23,Transportation and Logistics,Marine Transportation,384
tra24,Transportation and Logistics,Mobility Solutions,385
tra25,Transportation and Logistics,Rail Freight Transport,386
tra26,Transportation and Logistics,Ride-sharing Services,387
tra27,Transportation and Logistics,Shipping Routes,388
tra28,Transportation and Logistics,Smart Mobility,389
tra29,Transportation and Logistics,Supply Chain Automation,390
tra30,Transportation and Logistics,Supply Chain Management,391
tra31,Transportation and Logistics,Supply Chain Solutions,392
tra32,Transportation and Logistics,Transportation,393
tra33,Transportation and Logistics,Truckload Services,394
tra34,Transportation and Logistics,Urban Transportation,395
tra35,Transportation and Logistics,Vehicle-to-grid Technology,397
tra36,Transportation and Logistics,Warehouse Management,398
